<h2>Plants Toxic to Cats</h2>
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hawaiian-ti">,Hawaiian Ti,Giant Dracaena
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/heartleaf-philodendron">,Heartleaf Philodendron,Philodendron hederaceum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/heavenly-bamboo">,Heavenly Bamboo,Nandina domestica
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hellebore">,Hellebore,Helleborus niger
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hercules-club">,Hercules' Club,Aralia spinosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hills-snow">,Hills of Snow,Hydrangea arborescens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/holly">,Holly,Ilex opaca
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/horse-chestnut">,Horse Chestnut,Aesculus glabra
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/horsehead-philodendron">,Horsehead Philodendron,Philodendron bipennifolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/horseweed">,Horseweed,Erigeron speciosus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hortensia">,Hortensia,Hydrangea arborescens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hosta">,Hosta,Hosta plataginea
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hurricane-plant">,Hurricane Plant,Monstera deliciosa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hyacinth">,Hyacinth,Hyacinthus orientalis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/hydrangea">,Hydrangea,Hydrangea arborescens
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/impala-lily">,Impala Lily,Adenium obesum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/inch-plant">,Inch Plant,Tradescantia flumeninsis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-apple">,Indian Apple,Podophyllum peltatum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-borage">,Indian Borage,Coleus ampoinicus
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-hemp">,Indian Hemp,Apocynum androsaemifolium
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-hemp-0">,Indian Hemp,Cannabis sativa
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-pink">,Indian Pink,Lobelia cardinalis
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/indian-rubber-plant">,Indian Rubber Plant,Ficus benjamina
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/inkberry">,Inkberry,Ilex opaca
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/iris">,Iris,Iris species
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/iron-cross-begonia">,Iron Cross Begonia,Begonia masoniana
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/ivy-arum">,Ivy Arum,Epipremnum aureum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/jack-pulpit">,Jack-in-the-pulpit,Arisaema triphyllum
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/jade-plant">,Jade Plant,Crassula argentea
<a href="https://www.aspca.org/pet-care/animal-poison-control/toxic-and-non-toxic-plants/japanese-show-lily">,Japanese Show Lily,Lilium speciosum
